id,lat,long,dailyImpacts,monthlyImpacts,value,CPM30,CPM14,CPM7,CPM1
523,-23.49033380,-46.98850000,178.116,5.343.480,"R$ 9.000,00","R$ 1,68","R$ 3,61","R$ 7,22","R$ 50,53"
524,-23.26006280,-47.32299570,199.738,5.992.140,"R$ 6.000,00","R$ 1,00","R$ 2,15","R$ 4,29","R$ 30,04"
528,-22.53908470,-48.86011070,161.587,4.847.610,"R$ 8.000,00","R$ 1,65","R$ 3,54","R$ 7,07","R$ 49,51"
529,-22.32596640,-47.38946420,188.554,5.656.620,"R$ 8.000,00","R$ 1,41","R$ 3,03","R$ 6,06","R$ 42,43"
530,-21.92581130,-48.02650370,170.654,5.119.620,"R$ 8.000,00","R$ 1,56","R$ 3,35","R$ 6,70","R$ 46,88"
531,-22.99864800,-46.51807840,182.454,5.473.620,"R$ 8.000,00","R$ 1,46","R$ 3,13","R$ 6,26","R$ 43,85"
532,-24.45290230,-47.81081700,164.998,4.949.940,"R$ 8.000,00","R$ 1,62","R$ 3,46","R$ 6,93","R$ 48,49"
533,-20.61466120,-51.06347740,165.059,4.951.770,"R$ 8.000,00","R$ 1,62","R$ 3,46","R$ 6,92","R$ 48,47"
535,-22.54782830,-46.65861810,164.463,4.933.890,"R$ 8.000,00","R$ 1,62","R$ 3,47","R$ 6,95","R$ 48,64"
538,-23.59648420,-47.96180810,165.776,4.973.280,"R$ 4.500,00","R$ 0,90","R$ 1,94","R$ 3,88","R$ 27,15"
540,-23.01587560,-47.11871130,219.270,6.578.100,"R$ 9.000,00","R$ 1,37","R$ 2,93","R$ 5,86","R$ 41,05"
541,-22.92546080,-47.01096090,280.890,8.426.700,"R$ 8.500,00","R$ 1,01","R$ 2,16","R$ 4,32","R$ 30,26"
544,-23.51696620,-46.92953370,303.349,9.100.470,"R$ 9.000,00","R$ 0,99","R$ 2,12","R$ 4,24","R$ 29,67"
546,-23.28381480,-47.32873520,197.353,5.920.590,"R$ 7.000,00","R$ 1,18","R$ 2,53","R$ 5,07","R$ 35,47"
549,-23.46386870,-47.41477700,228.453,6.853.590,"R$ 7.000,00","R$ 1,02","R$ 2,19","R$ 4,38","R$ 30,64"
550,-23.48009870,-47.44128830,310.646,9.319.380,"R$ 8.000,00","R$ 0,86","R$ 1,84","R$ 3,68","R$ 25,75"
551,-23.47896450,-47.44150340,311.540,9.346.200,"R$ 8.000,00","R$ 0,86","R$ 1,83","R$ 3,67","R$ 25,68"
552,-23.53149680,-47.46505830,317.438,9.523.140,"R$ 7.000,00","R$ 0,74","R$ 1,58","R$ 3,15","R$ 22,05"
553,-23.53149680,-47.46505830,317.438,9.523.140,"R$ 7.000,00","R$ 0,74","R$ 1,58","R$ 3,15","R$ 22,05"
554,-23.47981550,-47.44003930,307.211,9.216.330,"R$ 8.000,00","R$ 0,87","R$ 1,86","R$ 3,72","R$ 26,04"
555,-23.48438180,-47.38825880,194.364,5.830.920,"R$ 6.000,00","R$ 1,03","R$ 2,20","R$ 4,41","R$ 30,87"
557,-23.40331070,-47.31938670,176.702,5.301.060,"R$ 9.000,00","R$ 1,70","R$ 3,64","R$ 7,28","R$ 50,93"
558,-23.30149360,-46.02157870,191.788,5.753.640,"R$ 9.000,00","R$ 1,56","R$ 3,35","R$ 6,70","R$ 46,93"
559,-23.18191290,-45.72809600,166.557,4.996.710,"R$ 8.000,00","R$ 1,60","R$ 3,43","R$ 6,86","R$ 48,03"
560,-23.47445940,-47.43348650,287.251,8.617.530,"R$ 7.000,00","R$ 0,81","R$ 1,74","R$ 3,48","R$ 24,37"
567,-23.72815150,-46.80820530,279.962,8.398.860,"R$ 8.000,00","R$ 0,95","R$ 2,04","R$ 4,08","R$ 28,58"
568,-23.40765160,-47.29175300,167.489,5.024.670,"R$ 9.000,00","R$ 1,79","R$ 3,84","R$ 7,68","R$ 53,73"
572,-23.40980150,-47.34053370,183.468,5.504.040,"R$ 7.000,00","R$ 1,27","R$ 2,73","R$ 5,45","R$ 38,15"
573,-21.92720480,-48.02503810,170.837,5.125.110,"R$ 8.000,00","R$ 1,56","R$ 3,34","R$ 6,69","R$ 46,83"
734,-23.53182180,-47.47642880,315.637,9.469.110,"R$ 7.000,00","R$ 0,74","R$ 1,58","R$ 3,17","R$ 22,18"
786,-23.30817410,-47.65240550,178.357,5.350.710,"R$ 8.000,00","R$ 1,50","R$ 3,20","R$ 6,41","R$ 44,85"
