id,name,latitude,longitude,kind,media
500298,AV. MARGINAL - CENTRAL PARK - LE - FACE V.BARTH,-23.597321,-48.043114,URBANO,OUTDOOR
500299,AV. MARGINAL - CENTRAL PARK - LD - FACE V.BARTH,-23.596959,-48.043505,URBANO,OUTDOOR
500302,AV. 5 DE NOVEMBRO - RR EVENTOS - ENTRADA CIDADE,-23.6017502,-48.0616487,URBANO,OUTDOOR
500303,AV DOMINGOS J VIEIRA / EXPEDICION - WGB - SEMÁFORO,-23.588458,-48.040966,URBANO,OUTDOOR
500305,AV. WENCESLAU BRAZ - SEMÁFORO,-23.573640, -48.028041,URBANO,OUTDOOR
500311,R VIRGILIO DE REZENDE - ESC. ADHERBAL - LE - SEMAF,-23.587709,-48.046343,URBANO,OUTDOOR
500323,AV. JOSÉ DE ALMEIDA CARVALHO - PLACA I,-23.5796303,-48.0297362,URBANO,OUTDOOR
500324,AV. JOSÉ DE ALMEIDA CARVALHO PLACA II,-23.5798904,-48.030343,URBANO,OUTDOOR
500390,RUA DR COUTINHO / JOSÉ HERMINIO DE MORAES - SEMÁF,-23.5781885,-48.034333,URBANO,OUTDOOR
500391,RUA JOSÉ HERMINIO DE MORAES / DR COUTINHO - SEMÁF,-23.578016,-48.034460,URBANO,OUTDOOR
500506,R VENÂNCIO AYRES - AUTO POSTO SATURNO BR - CENTRO,-23.591000, -48.049295,URBANO,OUTDOOR
500511,ACESSO ITAPETININGA SHOPPING,-23.578954, -48.038288,URBANO,OUTDOOR
500512,RUA VIRGILIO DE REZENDE - HOTEL IPORÃ - LE,-23.585022,-48.034416,URBANO,OUTDOOR
500515,SP 270 - ROD. RAPOSO TAVARES - KM 161 - FACE SP,-23.596648,-48.006467,RODOVIA,OUTDOOR
500516,RUA FERNANDO PRESTES - PAD BARÃO - SEMAFORO,-23.586113,-48.046671,URBANO,OUTDOOR
500639,AV. PEIXOTO GOMIDE X RUA SILVA JARDIM- CENTRO,-23.587720,-48.047975,URBANO,OUTDOOR
500640,AV. SILVA JARDIM X AV. PEIXOTO GOMIDE - CENTRO,-23.587810,-48.048089,URBANO,OUTDOOR
500641,AV.WENCESLAU BRAZ- SEMAFORO SENTIDO CENTRO,-23.573599, -48.027997,URBANO,OUTDOOR
500642,"RODOVIA RAPOSO TAVARES , KM 168 KAIKAN 1",-23.615970,-48.075256,RODOVIA,OUTDOOR
500643,"RODOVIA RAPOSO TAVARES , KM 168 KAIKAN 2",-23.615970,-48.075256,RODOVIA,OUTDOOR
500721,RODOVIA RAPOSO TAVARES KM 160 - I - ANTES DA MGA,-23.596635, -48.006512,RODOVIA,OUTDOOR
500722,RODOVIA RAPOSO TAVARES KM 160- II - ANTES DA MGA,-23.596748, -48.007712,RODOVIA,OUTDOOR
500832,AV. SALVADOR DE OLIVEIRA LEME (SARUTAYA) - ROTATÓRIA,-23.5963542,-48.031302,URBANO,OUTDOOR
500833,RUA SALVADOR IANACONI - SPANI I - VALE SAN FERNANDO,-23.5975634,-48.0292121,URBANO,OUTDOOR
500834,RUA SALVADOR IANACONI - SPANI II - VALE SAN FERNANDO,-23.5975634,-48.0292121,URBANO,OUTDOOR
500852,RUA JÚLIO PRESTES X RUA CAMPOS SALLES I (QUADRO DUPLO),-23.5893775,-48.0523042,URBANO,OUTDOOR
500853,RUA JÚLIO PRESTES X RUA CAMPOS SALLES II (QUADRO DUPLO),-23.5893775,-48.0523042,URBANO,OUTDOOR
500854,RUA JÚLIO PRESTES X RUA CAMPOS SALLES (QUADRO SIMPLES),-23.5893775,-48.0523042,URBANO,OUTDOOR
500521,VIA EXPRESSA - ITU X SALTO - PLACA I,-23.254246,-47.304681,URBANO,OUTDOOR
500522,VIA EXPRESSA - ITU X SALTO - PLACA II,-23.2545874,-47.304802,URBANO,OUTDOOR
500523,VIA EXPRESSA - ITU X SALTO - PLACA III,-23.254246,-47.304681,URBANO,OUTDOOR
500524,VIA EXPRESSA - ITU X SALTO - PLACA IV,-23.254246,-47.304681,URBANO,OUTDOOR
500526,RUA SANTANA / AV. GALILEU BICUDO QUADRO 1,-23.264154,-47.303924,URBANO,OUTDOOR
500529,AV. GALILEU BICUDO - SENTIDO BAIRRO - PLACA 01,-23.273769,-47.302652,URBANO,OUTDOOR
500530,AV. GALILEU BICUDO - SENTIDO BAIRRO-  PLACA 02,-23.273769,-47.302652,URBANO,OUTDOOR
500531,AV.OCTAV. PEREIRA MENDES-X RUA SANTA RITA,-23.256850,-47.304434,URBANO,OUTDOOR
500532,AV.DR OCTAVIANO PEREIRA MENDES-FTE TAPERA PLACA 2,-23.256661,-47.304252,URBANO,OUTDOOR
500534,RUA MADRE MARIA BASÍLIA - PLACA 01,-23.274877,-47.292601,URBANO,OUTDOOR
500535,RUA MADRE MARIA BASÍLIA - PLACA 02,-23.258370,-47.302130,URBANO,OUTDOOR
500600,AV. FRANCISCO ERNESTO FÁVERO  - FRENTE JEEP,-23.285220, -47.291692,URBANO,OUTDOOR
500601,AV. TIRADENTES X ESCOLA AGRICOLA PLACA 02,-23.287721,-47.292868,URBANO,OUTDOOR
500603,"AV. BARATA RIBEIRO,410- ROT.FACE KIA MOTORS- I",-23.285278, -47.290894,URBANO,OUTDOOR
500604,"AV.BARATA RIBEIRO,410- SENTIDO CENTRO- PLACA 02",-23.2850613,-47.2908541,URBANO,OUTDOOR
500605,AV.DR.OCTAVIANO PEREIRA MENDES-FTE TAPERA PLACA 1,-23.256661,-47.304252,URBANO,OUTDOOR
500606,"AV. ARQUITETO MARCIO JOÃO DE ARRUDA,260B - ITU NOVO CENTRO",-23.276437,-47.287766,URBANO,OUTDOOR
500607,RUA PAULO EDUARDO XAVIER DE TOLEDO - B. SAO LUÍS,-23.269475, -47.279052,URBANO,OUTDOOR
500609,"RUA MARECHAL DEODORO,390- CENTRO",-23.260143, -47.298807,URBANO,OUTDOOR
500622,"AV. ERMELINDO MAFFEI,1164- FRENTE ITU SHOPPING I",-23.265690,-47.281283,URBANO,OUTDOOR
500623,"AV.ERMELINDO MAFFEI,1164 - FRENTE ITU SHOPPING II",-23.263904,-47.284368,URBANO,OUTDOOR
500624,"AV.ERMELINDO MAFFEI,1164 - FRENTE ITU SHOPPING III",-23.265606, -47.281441,URBANO,OUTDOOR
500629,AV. ERMELINDO MAFFEI (ROTATÓRIA) I,-23.264095,-47.284113,URBANO,OUTDOOR
500630,AV. ERMELINDO MAFFEI (ROTATÓRIA) II,-23.264024,-47.284234,URBANO,OUTDOOR
500631,AV. ERMELINDO MAFFEI (ROTATÓRIA) III,-23.263934,-47.284348,URBANO,OUTDOOR
500632,AV.ERMELINDO MAFFEI (ROTATÓRIA) IV,-23.256661,-47.304252,URBANO,OUTDOOR
500633,AV.ERMELINDO MAFFEI (ROTATÓRIA) V,-23.263865,-47.284389,URBANO,OUTDOOR
500679,RUA SANTANA / AV. GALILEU BICUDO QUADRO 2,-23.264139,-47.303953,URBANO,OUTDOOR
500680,AV. GALILEU BICUDO - SENTIDO BAIRRO-  PLACA 03,-23.273769,-47.302652,URBANO,OUTDOOR
500783,"AV. EUGEN WISSMANN, ALTURA DO N° 261- I- SÃO LUÍS",-23.2736572,-47.2804808,URBANO,OUTDOOR
500784,"AV. EUGEN WISSMANN, ALTURA DO N° 261- II- SÃO LUÍS",-23.2736572,-47.2804808,URBANO,OUTDOOR
